2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Usual Resident Population,Score,State,Rank
20799,Drummond North,203,1068,VIC,2412
20800,Drung,119,981,VIC,1036
20801,Dry Diggings,41,1060,VIC,2333
20802,Drysdale,4976,960,VIC,736
20803,Duchembegarra,47,1023,VIC,1819
20804,Dumbalk,455,928,VIC,335
20805,Dumbalk North,90,1009,VIC,1562
20806,Dumosa,18,1030,VIC,1922
20807,Dunach,83,935,VIC,399
20808,Dundonnell,52,1093,VIC,2619
20809,Dunkeld,688,1033,VIC,1989
20810,Dunluce,36,920,VIC,271
20811,Dunneworthy,15,1008,VIC,1541
20812,Dunnstown,259,970,VIC,901
20813,Dunolly,899,862,VIC,34
20814,Dunrobin,70,1051,VIC,2206
20815,Durdidwarrah,12,1033,VIC,1995
20816,Durham Lead,408,989,VIC,1183
20817,Durham Ox,60,1054,VIC,2265
20818,Dutson,32,958,VIC,712
20820,Dutton Way,91,875,VIC,55
20821,Duverney,23,1015,VIC,1680
20822,Eagle Point,1306,955,VIC,657
20823,Eaglehawk,5538,892,VIC,118
20824,Eaglehawk North,13,880,VIC,67
20825,Eaglemont,3960,1141,VIC,2763
20826,Earlston,82,1038,VIC,2048
20827,East Bairnsdale,1352,845,VIC,15
20828,East Bendigo,2246,981,VIC,1041
20829,East Geelong,4012,1065,VIC,2387
20830,East Melbourne,4896,1189,VIC,2822
20832,East Wangaratta,66,1030,VIC,1934
20833,East Warburton,906,962,VIC,773
20834,Eastern View,47,1049,VIC,2179
20835,Eastville,13,1003,VIC,1442
20836,Eastwood,2855,950,VIC,581
20837,Ebden,110,1050,VIC,2190
20838,Echuca,15056,923,VIC,290
20839,Echuca Village,577,948,VIC,559
20840,Echuca West,442,906,VIC,183
20841,Ecklin South,222,1054,VIC,2259
20842,Eddington,113,929,VIC,339
20843,Eden Park,1194,974,VIC,960
20844,Edenhope,937,945,VIC,527
20845,Edgecombe,103,1042,VIC,2101
20846,Edi,60,1001,VIC,1407
20847,Edi Upper,109,1001,VIC,1408
20848,Edithvale,6276,1077,VIC,2500
20849,Eganstown,206,1013,VIC,1639
20850,Eildon,944,901,VIC,161
20851,Elaine,232,986,VIC,1118
20852,Eldorado,382,962,VIC,777
20853,Elevated Plains,39,1060,VIC,2334
20854,Elingamite,57,1032,VIC,1956
20855,Elingamite North,118,1003,VIC,1434
20857,Ellaswood,206,987,VIC,1141
20858,Ellerslie,157,1061,VIC,2353
20859,Elliminyt,3260,935,VIC,386
20860,Ellinbank,229,1021,VIC,1772
20861,Elmhurst,185,993,VIC,1248
20862,Elmore,847,909,VIC,202
20863,Elphinstone,633,998,VIC,1354
20864,Elsternwick,10887,1146,VIC,2775
20865,Eltham,18847,1097,VIC,2640
20866,Eltham North,6830,1094,VIC,2626
20867,Elwood,15153,1154,VIC,2790
20868,Emerald,5890,1027,VIC,1855
20869,Emu,37,966,VIC,833
20870,Emu Creek,376,1031,VIC,1950
20871,Endeavour Hills,24455,990,VIC,1193
20872,Enfield,574,953,VIC,633
20873,Englefield,23,1092,VIC,2593
20874,Enochs Point,3,953,VIC,643
20875,Ensay,155,1044,VIC,2112
20876,Ensay North,29,1044,VIC,2113
20877,Eppalock,746,984,VIC,1080
20878,Epping,33489,960,VIC,738
20879,Epsom,5014,954,VIC,654
20880,Ercildoune,90,966,VIC,836
20881,Erica,184,941,VIC,459
20883,Eskdale,238,986,VIC,1125
20884,Esmond,17,1042,VIC,2073
20885,Essendon,21240,1102,VIC,2667
20887,Essendon North,3071,1055,VIC,2276
20888,Essendon West,1559,1095,VIC,2629
20889,Eumemmerring,2285,924,VIC,300
20890,Eurack,43,1017,VIC,1697
20891,Eureka,633,940,VIC,444
20892,Euroa,3508,940,VIC,450
20893,Eurobin,239,966,VIC,846
20894,Evansford,147,936,VIC,411
20895,Eversley,14,993,VIC,1249
20896,Everton,193,1015,VIC,1662
20897,Everton Upper,154,1016,VIC,1686
20898,Exford,133,1005,VIC,1489
20899,Eynesbury,2838,1009,VIC,1557
20900,Fairbank,52,1013,VIC,1644
20901,Fairfield,6535,1137,VIC,2755
20902,Fairhaven,390,1127,VIC,2738
20903,Fairley,14,947,VIC,539
