2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Usual Resident Population,Score,State,Rank
21878,Nar Nar Goon,1023,919,VIC,260
21879,Nar Nar Goon North,819,982,VIC,1051
21880,Narbethong,201,990,VIC,1197
21881,Nareeb,48,1024,VIC,1830
21882,Nareen,79,1099,VIC,2650
21883,Nareewillock,24,1022,VIC,1799
21884,Nariel Valley,87,1033,VIC,1984
21885,Naring,122,983,VIC,1066
21886,Naringal,124,1006,VIC,1507
21887,Naringal East,96,1006,VIC,1506
21888,Naroghid,66,995,VIC,1309
21889,Narracan,262,998,VIC,1356
21890,Narraport,50,1052,VIC,2237
21891,Narrapumelap South,31,1108,VIC,2685
21892,Narrawong,462,1030,VIC,1930
21893,Narre Warren,27689,960,VIC,733
21894,Narre Warren East,434,1021,VIC,1780
21895,Narre Warren North,8033,1018,VIC,1717
21896,Narre Warren South,30909,982,VIC,1060
21897,Narrung,24,951,VIC,619
21898,Nathalia,1982,930,VIC,344
21899,Natimuk,548,1000,VIC,1380
21900,Natte Yallock,89,968,VIC,880
21901,Natya,40,973,VIC,953
21902,Navarre,99,956,VIC,681
21903,Navigators,276,1034,VIC,2004
21904,Nayook,70,966,VIC,840
21905,Neds Corner,3,932,VIC,360
21906,Neereman,23,1003,VIC,1439
21907,Neerim,218,966,VIC,841
21908,Neerim East,196,1007,VIC,1521
21909,Neerim Junction,139,966,VIC,842
21910,Neerim North,41,1007,VIC,1522
21911,Neerim South,1599,972,VIC,932
21912,Neilborough,379,890,VIC,109
21914,Nelson,191,982,VIC,1048
21915,Nerrena,238,1047,VIC,2158
21916,Nerrin Nerrin,48,1063,VIC,2359
21917,Nerrina,970,1067,VIC,2405
21918,Nerring,14,966,VIC,837
21919,Netherby,111,1047,VIC,2161
21920,Neuarpurr,56,1083,VIC,2554
21921,New Gisborne,2509,1058,VIC,2310
21922,Newborough,6886,877,VIC,65
21923,Newbridge,171,965,VIC,829
21924,Newbury,84,1082,VIC,2544
21925,Newcomb,4704,917,VIC,247
21926,Newfield,59,1010,VIC,1593
21927,Newham,533,1086,VIC,2571
21928,Newhaven,547,1021,VIC,1773
21929,Newington,1844,1071,VIC,2442
21930,Newlands Arm,866,923,VIC,292
21931,Newlyn,136,1078,VIC,2511
21932,Newlyn North,230,1003,VIC,1446
21933,Newmerella,415,921,VIC,277
21934,Newport,13658,1113,VIC,2700
21935,Newry,451,957,VIC,698
21936,Newstead,820,989,VIC,1181
21937,Newtown (Golden Plains - Vic.),189,891,VIC,112
21938,Newtown (Greater Geelong - Vic.),10445,1099,VIC,2647
21939,Nhill,2401,922,VIC,284
21940,Nichols Point,1723,1006,VIC,1496
21941,Nicholson,1322,915,VIC,238
21942,Niddrie,5901,1055,VIC,2288
21943,Nilma,410,947,VIC,552
21944,Nilma North,344,1041,VIC,2066
21945,Ninda,9,1063,VIC,2371
21946,Nine Mile,19,1020,VIC,1761
21947,Nintingbool,168,948,VIC,556
21948,Ninyeunook,13,1080,VIC,2526
21949,Nirranda,50,1029,VIC,1905
21950,Nirranda East,12,1063,VIC,2363
21951,Nirranda South,90,1029,VIC,1906
21952,Noble Park,32257,934,VIC,384
21953,Noble Park North,7436,945,VIC,528
21954,Noojee,177,933,VIC,378
21955,Noorat,318,1005,VIC,1474
21956,Noorat East,17,1005,VIC,1470
21957,Noorinbee,84,951,VIC,596
21958,Noorinbee North,37,951,VIC,591
21959,Noradjuha,89,1046,VIC,2143
21960,Norlane,8682,822,VIC,7
21961,Normanville,34,1080,VIC,2527
21962,Norong,130,1040,VIC,2064
21963,North Bendigo,4277,939,VIC,425
21964,North Blackwood,50,1095,VIC,2635
21965,North Geelong,3225,966,VIC,849
21966,North Melbourne,14953,1138,VIC,2759
21967,North Shore,325,947,VIC,550
21968,North Wangaratta,282,970,VIC,903
21969,North Warrandyte,3027,1119,VIC,2719
21970,North Wonthaggi,3475,897,VIC,147
21971,Northcote,25276,1150,VIC,2784
21972,Northwood,203,950,VIC,576
21973,Norval,40,998,VIC,1342
21974,Notting Hill,2895,1114,VIC,2704
21975,Nowa Nowa,199,914,VIC,223
21976,Nowhere Creek,20,993,VIC,1252
21977,Nowie,24,1019,VIC,1735
21978,Nug Nug,36,987,VIC,1156
21979,Nuggetty,64,998,VIC,1349
21980,Nulla Vale,96,1000,VIC,1400
21981,Nullawarre,233,1001,VIC,1410
21982,Nullawarre North,46,1006,VIC,1508
21983,Nullawil,92,1030,VIC,1924
21984,Numurkah,4604,913,VIC,219
21985,Nunawading,12413,1082,VIC,2541
21986,Nungurner,327,985,VIC,1092
21988,Nurcoung,33,1070,VIC,2423
21989,Nurrabiel,43,1078,VIC,2504
21991,Nutfield,158,1032,VIC,1953
21992,Nyah,536,863,VIC,37
21993,Nyah West,673,820,VIC,6
21994,Nyarrin,17,1063,VIC,2372
21995,Nyerimilang,3,985,VIC,1094
21996,Nyora,1644,939,VIC,442
21997,Nyrraby,18,1019,VIC,1727
21998,Oak Park,6714,1079,VIC,2516
21999,Oaklands Junction,439,973,VIC,941
22000,Oakleigh,8442,1080,VIC,2530
22001,Oakleigh East,6804,1069,VIC,2419
22002,Oakleigh South,9851,1036,VIC,2025
22003,Oakvale,19,1080,VIC,2528
22004,Ocean Grange,5,1125,VIC,2734
22005,Ocean Grove,17714,1058,VIC,2302
22006,Officer,18503,1027,VIC,1872
22007,Officer South,1159,1047,VIC,2153
22008,Old Tallangatta,45,1027,VIC,1862
22009,Olinda,1773,1085,VIC,2564
22010,Ombersley,93,1053,VIC,2255
22011,Omeo,411,971,VIC,911
22012,Omeo Valley,9,967,VIC,865
22013,Ondit,101,937,VIC,415
22014,Orbost,2264,866,VIC,41
22015,Orford,115,1060,VIC,2331
22016,Ormond,8328,1115,VIC,2705
22017,Orrvale,450,905,VIC,177
22018,Osbornes Flat,285,1055,VIC,2273
22019,Outtrim,270,1003,VIC,1449
22020,Ouyen,1170,923,VIC,291
22021,Ovens,197,966,VIC,847
22022,Oxley,710,996,VIC,1318
22023,Oxley Flats,49,998,VIC,1357
22024,Ozenkadnook,25,1070,VIC,2424
22025,Paaratte,36,1010,VIC,1594
22026,Painswick,14,897,VIC,144
22027,Pakenham,54118,951,VIC,613
22028,Pakenham South,229,951,VIC,608
22029,Pakenham Upper,1196,1020,VIC,1754
22030,Panitya,67,1092,VIC,2607
22031,Panmure,442,959,VIC,722
22032,Panton Hill,1063,1076,VIC,2494
22033,Paradise,41,963,VIC,786
22034,Paradise Beach,172,874,VIC,53
22035,Paraparap,167,1051,VIC,2222
22036,Park Orchards,3835,1092,VIC,2598
22037,Parkdale,12308,1092,VIC,2600
22038,Parkville,7074,1163,VIC,2805
22039,Parwan,188,942,VIC,471
22040,Paschendale,33,1072,VIC,2455
22041,Pascoe Vale,18171,1069,VIC,2418
22042,Pascoe Vale South,10534,1080,VIC,2525
22043,Pastoria,75,1103,VIC,2669
22044,Pastoria East,51,1103,VIC,2670
22045,Patchewollock,149,999,VIC,1365
22046,Patho,138,962,VIC,769
22047,Patterson Lakes,7793,1023,VIC,1822
22048,Patyah,58,1070,VIC,2425
22049,Paynesville,3636,950,VIC,580
22050,Pearcedale,3867,950,VIC,582
22051,Pearsondale,125,1007,VIC,1509
22052,Peechelba,177,997,VIC,1339
22053,Peechelba East,54,987,VIC,1137
22054,Pelluebla,29,991,VIC,1200
22055,Pennyroyal,110,1098,VIC,2645
22056,Penshurst,677,960,VIC,737
22057,Pental Island,159,985,VIC,1095
22058,Pentland Hills,158,992,VIC,1220
22059,Percydale,22,993,VIC,1253
22060,Peronne,49,1070,VIC,2426
22061,Perry Bridge,72,1019,VIC,1725
22062,Peterborough,322,991,VIC,1204
22063,Petticoat Creek,7,1038,VIC,2052
22064,Pheasant Creek,360,987,VIC,1151
22065,Piangil,230,973,VIC,954
22066,Picola,206,976,VIC,995
22067,Picola West,14,976,VIC,996
22068,Piedmont,52,933,VIC,379
22069,Pier Milan,6,1063,VIC,2373
22070,Pigeon Ponds,29,1099,VIC,2651
22071,Piggoreet,17,909,VIC,197
22072,Pimpinio,191,1032,VIC,1960
22073,Pine Grove,40,962,VIC,768
22074,Pine Lodge,267,1044,VIC,2111
22075,Pine Mountain,32,997,VIC,1335
22076,Pine View,4,1080,VIC,2529
22077,Pioneer Bay,365,885,VIC,84
22078,Pipers Creek,189,1065,VIC,2386
22079,Pira,16,940,VIC,453
22080,Piries,66,1000,VIC,1386
22081,Pirron Yallock,132,949,VIC,566
22082,Pitfield,14,1037,VIC,2028
22083,Pittong,12,955,VIC,659
22084,Plenty,2575,1051,VIC,2202
22085,Plumpton,79,949,VIC,563
22086,Point Cook,66781,1071,VIC,2441
22087,Point Leo,178,1048,VIC,2170
22088,Point Lonsdale,3788,1089,VIC,2580
22090,Polisbet,5,1019,VIC,1736
22091,Pomborneit,73,1000,VIC,1395
22092,Pomborneit East,42,1000,VIC,1393
22093,Pomborneit North,48,1042,VIC,2096
22094,Pomonal,356,1019,VIC,1744
22095,Pompapiel,38,1022,VIC,1811
22096,Poolaijelo,26,977,VIC,1003
22097,Pootilla,79,975,VIC,978
22098,Poowong,717,950,VIC,577
22099,Poowong East,88,1054,VIC,2256
22100,Poowong North,202,1064,VIC,2382
22101,Porcupine Ridge,149,1082,VIC,2539
22102,Porepunkah,1024,994,VIC,1273
22103,Port Albert,403,859,VIC,28
22104,Port Campbell,440,1022,VIC,1804
22105,Port Fairy,3742,1041,VIC,2070
22106,Port Franklin,174,946,VIC,531
22107,Port Melbourne,17633,1138,VIC,2756
22108,Port Welshpool,220,898,VIC,153
22109,Portarlington,4436,978,VIC,1008
22110,Portland,10016,885,VIC,85
22111,Portland North,708,963,VIC,805
22112,Portland West,619,957,VIC,699
22113,Portsea,787,1148,VIC,2782
22114,Pound Creek,126,1018,VIC,1713
22115,Powelltown,214,862,VIC,35
22116,Powers Creek,5,1021,VIC,1766
22117,Powlett Plains,38,939,VIC,433
22118,Prahran,12203,1159,VIC,2798
22119,Prairie,37,1060,VIC,2328
22120,Pranjip,28,989,VIC,1186
22121,Preston,33790,1075,VIC,2487
22122,Princes Hill,2005,1146,VIC,2779
22123,Princetown,236,1027,VIC,1853
22124,Puckapunyal,1108,1068,VIC,2410
22125,Pura Pura,47,1068,VIC,2413
22126,Purdeet,21,1024,VIC,1831
22127,Purnim,292,961,VIC,744
22128,Purnim West,50,1046,VIC,2135
22129,Pyalong,772,932,VIC,366
22130,Pyramid Hill,598,877,VIC,62
22131,Quambatook,229,876,VIC,61
22133,Quantong,354,955,VIC,658
22134,Quarry Hill,2365,1040,VIC,2061
22135,Queenscliff,1516,1084,VIC,2562
22136,Raglan,223,964,VIC,811
22137,Rainbow,672,939,VIC,439
22138,Ranceby,83,1053,VIC,2251
22139,Rathscar,19,972,VIC,923
22140,Rathscar West,31,972,VIC,924
22142,Ravenswood,443,1008,VIC,1545
22143,Ravenswood South,76,1099,VIC,2655
22144,Rawson,296,847,VIC,16
22145,Raymond Island,589,959,VIC,724
22146,Raywood,329,919,VIC,264
22147,Red Cliffs,5294,887,VIC,93
22148,Red Hill,1009,1104,VIC,2675
22149,Red Hill South,708,1118,VIC,2713
22150,Red Lion,111,914,VIC,232
22151,Redan,3000,944,VIC,505
22152,Redbank,102,971,VIC,912
22153,Redcastle,67,988,VIC,1166
22154,Redesdale,299,1001,VIC,1419
22155,Reedy Creek,157,961,VIC,756
22156,Reedy Dam,28,1052,VIC,2238
22157,Reedy Flat,6,1044,VIC,2114
22158,Reedy Lake,26,947,VIC,540
22159,Reefton,102,925,VIC,311
22160,Research,2695,1080,VIC,2533
22161,Reservoir,51096,1015,VIC,1674
22163,Rheola,52,1012,VIC,1623
22164,Rhyll,836,1017,VIC,1693
22165,Rhymney,56,1019,VIC,1745
22166,Riachella,13,985,VIC,1112
22167,Rich Avon,3,1029,VIC,1917
22168,Rich Avon East,7,1073,VIC,2473
22169,Rich Avon West,34,1073,VIC,2474
22170,Richmond,28587,1139,VIC,2760
22171,Richmond Plains,9,1020,VIC,1762
22172,Riddells Creek,4390,1020,VIC,1756
22173,Riggs Creek,31,987,VIC,1144
22174,Ringwood,19144,1051,VIC,2215
22175,Ringwood East,10764,1061,VIC,2344
22176,Ringwood North,9964,1078,VIC,2509
22177,Ripplebrook,268,992,VIC,1240
22178,Rippleside,994,1091,VIC,2591
22179,Ripponlea,1532,1143,VIC,2768
22180,Riverside,287,984,VIC,1082
22181,Riverslea,165,976,VIC,987
22182,Robertsons Beach,49,889,VIC,104
22183,Robinvale,3497,863,VIC,36
22184,Rochester,3154,885,VIC,83
22185,Rochford,71,1095,VIC,2634
22186,Rockbank,2583,974,VIC,966
22187,Rocklands,25,1111,VIC,2696
22188,Rocklyn,43,1003,VIC,1447
22189,Rocky Point,4,998,VIC,1343
22190,Rokeby,213,980,VIC,1031
22191,Rokewood,208,925,VIC,305
22192,Rokewood Junction,34,925,VIC,306
22193,Romsey,5797,980,VIC,1027
22194,Rosanna,8616,1105,VIC,2680
22195,Rose River,26,1004,VIC,1457
22197,Rosebrook,128,1027,VIC,1871
22198,Rosebud,14381,944,VIC,512
22199,Rosedale,1729,889,VIC,98
22200,Roses Gap,7,992,VIC,1234
22201,Rosewhite,141,1038,VIC,2045
22202,Roslynmead,49,968,VIC,882
22203,Ross Creek,1221,975,VIC,975
22204,Rossbridge,27,1122,VIC,2726
22205,Rostron,10,963,VIC,787
22206,Rowsley,231,983,VIC,1067
22207,Rowville,33571,1032,VIC,1952
22208,Roxburgh Park,24129,945,VIC,523
22209,Rubicon,44,956,VIC,678
22210,Ruby,187,1013,VIC,1647
22211,Ruffy,164,1086,VIC,2574
22212,Running Creek,36,1027,VIC,1858
22213,Runnymede,64,1012,VIC,1631
22214,Rupanyup,545,1003,VIC,1450
22215,Rushworth,1411,887,VIC,90
22216,Russells Bridge,70,1083,VIC,2550
22217,Rutherglen,2579,934,VIC,381
22219,Ryanston,324,1023,VIC,1813
22220,Rye,9438,1002,VIC,1424
22221,Rythdale,33,951,VIC,609
22222,Safety Beach,6328,997,VIC,1326
22223,Sailors Falls,79,1013,VIC,1640
22224,Sailors Gully,743,877,VIC,63
22225,Sailors Hill,72,1002,VIC,1432
22226,Sale,14296,962,VIC,781
22227,Salisbury West,38,939,VIC,434
22228,Samaria,57,973,VIC,942
22229,San Remo,1700,1010,VIC,1591
22230,Sandford,130,951,VIC,607
22231,Sandhill Lake,9,949,VIC,567
22232,Sandhurst,5211,1067,VIC,2406
22233,Sandon,89,1057,VIC,2296
22234,Sandringham,10926,1137,VIC,2753
22235,Sandy Creek,200,1025,VIC,1840
22236,Sandy Point,312,1039,VIC,2055
22238,Sarsfield,543,997,VIC,1327
22239,Sassafras,970,1091,VIC,2587
22240,Sawmill Settlement,86,1029,VIC,1903
22241,Scarsdale,855,911,VIC,213
22242,Scoresby,6066,1017,VIC,1700
22243,Scotchmans Lead,105,967,VIC,856
22244,Scotsburn,244,989,VIC,1177
22245,Scotts Creek,214,1007,VIC,1520
22246,Sea Lake,619,901,VIC,159
22247,Seabrook,4952,1001,VIC,1422
22248,Seacombe,15,1125,VIC,2735
22249,Seaford,17215,993,VIC,1245
22250,Seaholme,2067,1052,VIC,2247
22251,Seaspray,373,901,VIC,160
22252,Seaton,161,902,VIC,164
22253,Seaview,140,1021,VIC,1771
22254,Sebastian,251,895,VIC,133
22255,Sebastopol,10194,873,VIC,52
22256,Seddon,5143,1132,VIC,2744
22257,Sedgwick,614,1062,VIC,2356
22258,Selby,1626,1068,VIC,2411
22260,Separation Creek,28,1033,VIC,1970
22261,Serpentine,222,1022,VIC,1810
22262,Serviceton,129,1070,VIC,2431
22263,Seville,2559,976,VIC,992
22264,Seville East,837,978,VIC,1009
22265,Seymour,6569,884,VIC,77
22266,Shady Creek,186,1055,VIC,2272
22267,Shays Flat,3,972,VIC,938
22268,She Oaks,126,1033,VIC,1996
22269,Sheans Creek,38,1042,VIC,2093
22270,Sheep Hills,27,1031,VIC,1949
22271,Shelbourne,423,969,VIC,892
22272,Shelford,263,1004,VIC,1463
22273,Shelley,5,1017,VIC,1707
22274,Shepherds Flat,71,1060,VIC,2337
22275,Shepparton,32067,925,VIC,313
22276,Shepparton East,1192,945,VIC,529
22277,Shepparton North,2048,1030,VIC,1933
22278,Sherbrooke,294,1146,VIC,2776
22279,Shoreham,679,1135,VIC,2749
22280,Sidonia,28,1103,VIC,2671
22281,Silvan,1323,1003,VIC,1452
22282,Silverleaves,322,1042,VIC,2099
22283,Simpson,583,976,VIC,989
22284,Simpsons Creek,39,916,VIC,241
22285,Simson,76,908,VIC,190
22286,Skenes Creek,249,1038,VIC,2053
22287,Skenes Creek North,19,1033,VIC,1971
22288,Skibo,70,936,VIC,404
22289,Skinners Flat,27,854,VIC,20
22290,Skipton,609,926,VIC,320
22291,Skye,8088,950,VIC,586
22292,Slaty Creek,34,963,VIC,800
22293,Smeaton,245,999,VIC,1360
22294,Smiths Beach,315,1045,VIC,2128
22295,Smiths Gully,356,1040,VIC,2065
22296,Smokeytown,32,984,VIC,1084
22297,Smoko,56,1012,VIC,1605
22298,Smythes Creek,1762,974,VIC,961
22299,Smythesdale,1189,928,VIC,333
22301,Snake Valley,820,913,VIC,221
22302,Soldiers Hill,2813,1057,VIC,2294
22303,Somers,1857,1090,VIC,2585
22305,Somerville,11767,975,VIC,979
22306,Sorrento,2013,1113,VIC,2701
22307,South Dudley,421,871,VIC,51
22308,South Geelong,1014,1058,VIC,2301
22309,South Kingsville,2156,1105,VIC,2682
22310,South Melbourne,11548,1145,VIC,2773
22311,South Morang,24989,996,VIC,1314
22312,South Purrumbete,124,1021,VIC,1782
22313,South Wharf,71,1219,VIC,2823
22314,South Yarra,25028,1167,VIC,2811
22315,Southbank,22631,1154,VIC,2791
22316,Southern Cross,128,995,VIC,1301
22317,Spargo Creek,42,986,VIC,1132
22318,Speed,53,999,VIC,1374
22319,Spotswood,2820,1100,VIC,2658
22320,Spring Gully,3092,1033,VIC,1988
22321,Spring Hill,200,1078,VIC,2512
22322,Springbank,117,1024,VIC,1825
22323,Springdallah,35,909,VIC,198
22324,Springfield (Buloke - Vic.),9,1030,VIC,1925
22325,Springfield (Macedon Ranges - Vic.),193,1021,VIC,1778
22326,Springhurst,349,947,VIC,553
22327,Springmount,184,984,VIC,1085
22328,Springvale,22174,937,VIC,413
22329,Springvale South,12766,900,VIC,157
22330,St Albans,38042,903,VIC,171
22331,St Albans Park,4942,882,VIC,74
22332,St Andrews,1186,1046,VIC,2140
22333,St Andrews Beach,974,1053,VIC,2253
22334,St Arnaud,2318,895,VIC,131
22335,St Arnaud East,100,970,VIC,899
22336,St Arnaud North,43,963,VIC,801
22337,St Clair,44,979,VIC,1016
22338,St Germains,75,940,VIC,447
22339,St Helena,2890,1049,VIC,2175
22340,St Helens,34,944,VIC,516
22341,St Helens Plains,40,1055,VIC,2274
22342,St James,123,991,VIC,1201
22343,St Kilda,19490,1124,VIC,2730
22344,St Kilda East,12571,1146,VIC,2774
22345,St Kilda West,2951,1157,VIC,2795
22346,St Leonards,3542,962,VIC,767
22347,Staceys Bridge,44,972,VIC,929
22348,Staffordshire Reef,63,909,VIC,199
22349,Staghorn Flat,368,1035,VIC,2018
22350,Stanhope,826,897,VIC,142
22351,Stanley,371,1108,VIC,2687
22352,Staughton Vale,105,1008,VIC,1530
22353,Stavely,47,1105,VIC,2678
22354,Stawell,6220,885,VIC,86
22355,Steels Creek,276,1018,VIC,1716
22356,Steiglitz,61,1033,VIC,1997
22357,Stewarton,118,992,VIC,1223
22359,Stockdale,41,956,VIC,669
22360,Stockyard Hill,49,1079,VIC,2520
22361,Stonehaven,79,1019,VIC,1743
22362,Stoneleigh,45,1079,VIC,2521
22363,Stony Creek (Central Goldfields - Vic.),0,881,VIC,72
22364,Stony Creek (South Gippsland - Vic.),310,1048,VIC,2167
22365,Stonyford,65,1004,VIC,1461
22366,Stradbroke,187,1001,VIC,1417
22367,Strangways,101,1039,VIC,2059
22368,Straten,11,1063,VIC,2374
22369,Stratford,2980,932,VIC,372
22370,Strath Creek,231,1007,VIC,1526
22371,Strathallan,180,961,VIC,752
22372,Strathbogie,351,1048,VIC,2172
22373,Strathdale,5756,1020,VIC,1753
22374,Strathdownie,176,1042,VIC,2086
22375,Strathewen,198,1070,VIC,2434
22376,Strathfieldsaye,6850,1037,VIC,2042
22377,Strathkellar,84,1071,VIC,2447
22378,Strathlea,33,1057,VIC,2297
22379,Strathmerton,1072,916,VIC,244
22380,Strathmore,8980,1095,VIC,2631
22381,Strathmore Heights,1047,1028,VIC,1888
22382,Strathtulloh,3997,1013,VIC,1637
22383,Streatham,158,1051,VIC,2220
22384,Strzelecki,107,1053,VIC,2252
22385,Stuart Mill,78,970,VIC,894
22386,Sugarloaf,20,1033,VIC,1972
22387,Sugarloaf Creek,255,991,VIC,1216
22388,Suggan Buggan,5,943,VIC,486
22389,Sulky,234,988,VIC,1167
22391,Sunbury,38851,979,VIC,1013
22392,Sunday Creek,368,961,VIC,760
22393,Sunderland Bay,306,957,VIC,702
22394,Sunset Strip,503,954,VIC,651
22395,Sunshine,9445,985,VIC,1090
22396,Sunshine North,12047,932,VIC,371
22397,Sunshine West,18552,922,VIC,287
22398,Surf Beach,670,1023,VIC,1814
22399,Surrey Hills,13655,1156,VIC,2792
22400,Sutherland,16,963,VIC,802
22401,Sutherlands Creek,129,1058,VIC,2300
22402,Sutton,3,1033,VIC,1980
22403,Sutton Grange,160,1009,VIC,1558
22404,Swan Bay,103,1027,VIC,1874
22405,Swan Hill,11186,937,VIC,418
22406,Swan Hill West,11,1034,VIC,2010
22408,Swan Marsh,127,1011,VIC,1596
22409,Swan Reach,861,951,VIC,614
22410,Swanpool,227,973,VIC,947
22411,Swanwater,10,963,VIC,796
22412,Swanwater West,17,1073,VIC,2475
22413,Swifts Creek,232,1015,VIC,1667
22414,Sydenham,10578,969,VIC,889
22415,Sylvaterre,22,1054,VIC,2269
22417,Tabilk,160,1005,VIC,1477
22418,Tabor,38,1060,VIC,2318
22419,Taggerty,405,986,VIC,1123
22420,Tahara,30,1072,VIC,2456
22421,Tahara Bridge,20,1072,VIC,2457
22422,Tahara West,17,1072,VIC,2458
22423,Talbot,452,881,VIC,68
22424,Talgarno,245,1065,VIC,2390
22425,Tallandoon,92,986,VIC,1126
22426,Tallangatta,1175,898,VIC,154
22427,Tallangatta East,39,1010,VIC,1586
22428,Tallangatta South,142,983,VIC,1064
22429,Tallangatta Valley,194,1010,VIC,1587
22430,Tallarook,748,991,VIC,1203
22431,Tallygaroopna,600,988,VIC,1165
22432,Tambo Crossing,25,1044,VIC,2115
22433,Tambo Upper,325,971,VIC,909
22434,Tamboon,3,951,VIC,592
22436,Taminick,139,1010,VIC,1583
22437,Tamleugh,54,987,VIC,1145
22438,Tamleugh North,24,1035,VIC,2014
22439,Tandarook,46,1021,VIC,1783
22440,Tandarra,55,1060,VIC,2329
22441,Tangambalanga,908,968,VIC,884
22444,Tanjil South,540,966,VIC,848
22445,Tanwood,15,972,VIC,925
22446,Tanybryn,15,1033,VIC,1973
22447,Taradale,524,1024,VIC,1835
22448,Tarcombe,32,1048,VIC,2173
22449,Tarilta,26,1030,VIC,1939
22450,Tarnagulla,153,935,VIC,392
22451,Tarneit,56370,1014,VIC,1655
22452,Tarnook,103,929,VIC,338
22453,Taroon,25,1003,VIC,1435
22454,Tarra Valley,85,967,VIC,868
22455,Tarranyurk,36,1089,VIC,2583
22456,Tarraville,69,889,VIC,105
22457,Tarrawarra,81,1008,VIC,1531
22458,Tarrawingee,416,1016,VIC,1685
22459,Tarrayoukyan,25,1099,VIC,2652
22460,Tarrengower,56,1003,VIC,1443
22461,Tarrenlea,25,1008,VIC,1537
22462,Tarrington,328,1060,VIC,2319
22463,Tarrone,69,1064,VIC,2379
22464,Tarwin,59,1046,VIC,2139
22465,Tarwin Lower,462,1013,VIC,1650
22466,Tatong,281,973,VIC,943
22467,Tatura,4955,952,VIC,625
22468,Tatura East,135,992,VIC,1239
22469,Tatyoon,130,1122,VIC,2727
22470,Tawonga,568,1010,VIC,1589
22471,Tawonga South,1012,1050,VIC,2184
22472,Taylor Bay,76,969,VIC,887
22473,Taylors Hill,15419,995,VIC,1303
22474,Taylors Lakes,15174,996,VIC,1322
22475,Teal Point,54,996,VIC,1317
22476,Tecoma,2064,1055,VIC,2287
22477,Teddywaddy,23,1022,VIC,1800
22478,Teddywaddy West,12,1022,VIC,1801
22479,Teesdale,2308,966,VIC,834
22480,Telangatuk East,75,1078,VIC,2505
22481,Telford,21,943,VIC,499
22482,Telopea Downs,44,1050,VIC,2198
22483,Templestowe,16966,1087,VIC,2576
22484,Templestowe Lower,14098,1079,VIC,2515
22485,Tempy,62,999,VIC,1363
22486,Tenby Point,206,940,VIC,446
22487,Tennyson,60,1055,VIC,2286
22488,Terang,2254,892,VIC,119
22489,Terip Terip,72,1005,VIC,1485
22490,Terrappee,20,1066,VIC,2400
22491,Terrick Terrick,8,989,VIC,1191
22492,Terrick Terrick East,8,962,VIC,770
22493,Tesbury,110,1021,VIC,1784
22494,Tetoora Road,93,980,VIC,1021
22495,Thalia,4,1052,VIC,2239
22496,The Basin,4497,1007,VIC,1527
22497,The Cove,18,1022,VIC,1792
22498,The Gurdies,243,954,VIC,649
22499,The Heart,30,994,VIC,1274
22500,The Honeysuckles,131,958,VIC,714
22501,The Patch,1046,1088,VIC,2578
22502,The Sisters,110,1013,VIC,1643
22503,Thologolong,22,1019,VIC,1720
22504,Thomastown,20234,914,VIC,235
22506,Thomson (Greater Geelong - Vic.),1606,958,VIC,706
22507,Thoona,133,1010,VIC,1580
22508,Thornbury,19005,1117,VIC,2711
22509,Thornhill Park,3066,997,VIC,1331
22510,Thornton,311,956,VIC,679
22511,Thorpdale,475,965,VIC,820
22512,Thorpdale South,27,981,VIC,1039
22513,Thowgla Valley,70,1033,VIC,1985
22514,Three Bridges,188,944,VIC,515
22516,Timboon,1250,933,VIC,375
22517,Timboon West,57,1063,VIC,2364
22518,Timmering,90,987,VIC,1139
22519,Timor,68,914,VIC,225
22520,Timor West,23,914,VIC,226
22521,Tinamba,358,976,VIC,988
22522,Tinamba West,63,962,VIC,780
22523,Tintaldra,66,1017,VIC,1703
22524,Tittybong,3,949,VIC,571
22525,Tol Tol,175,896,VIC,138
22526,Tolmie,547,981,VIC,1045
22527,Tom Groggin,7,1033,VIC,1986
22528,Tongala,1973,889,VIC,107
22529,Tonghi Creek,5,951,VIC,597
22530,Tongio,50,1015,VIC,1668
22531,Tonimbuk,229,1054,VIC,2263
22532,Tooan,23,1046,VIC,2144
22533,Tooborac,319,1000,VIC,1399
22534,Toolamba,822,980,VIC,1025
22535,Toolamba West,110,956,VIC,666
22536,Toolangi,366,976,VIC,984
22537,Toolern Vale,818,969,VIC,888
22538,Toolleen,221,985,VIC,1104
22540,Toolondo,74,1046,VIC,2145
22541,Toolong,88,1037,VIC,2039
22543,Toongabbie,1085,906,VIC,179
22544,Toora,713,895,VIC,134
22545,Toora North,107,1010,VIC,1572
22546,Tooradin,1722,921,VIC,275
22547,Toorak,12817,1177,VIC,2818
22548,Toorloo Arm,509,903,VIC,170
22550,Tootgarook,3178,953,VIC,634
22551,Torquay,18534,1083,VIC,2557
22552,Torrita,51,1092,VIC,2608
22553,Torrumbarry,257,940,VIC,449
22554,Torwood,49,980,VIC,1022
22555,Tostaree,23,1027,VIC,1880
22557,Tottington,5,963,VIC,788
22558,Tourello,46,1028,VIC,1895
22559,Towan,13,973,VIC,955
22560,Towaninny,4,1030,VIC,1926
22562,Tower Hill,83,1008,VIC,1547
22563,Towong,143,994,VIC,1286
22564,Towong Upper,37,1033,VIC,1987
22565,Trafalgar,4349,942,VIC,472
